codigo_comuna,nombre_comuna,pop_chilean,pct_foreign,median_age_chilean,median_age_foreign,mean_schooling_chilean,mean_schooling_foreign,emp_rate_chilean,dependency_ratio,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k,eno_total,eno_chilean,eno_foreign,eno_desconocido,eno_top3_diseases,eno_rate_per_10k,log_pop_total,pct_unemployed,schooling_gap
13121,Pedro Aguirre Cerda,86292.0,0.09537687388615158,41.0,32.0,11.227268311637848,11.5188679245283,0.6110818516971469,0.5233152347492814,15537,14355,1182,7.607646263757482,6.553517410053421,6.672309299895507,5.11082910321489,1.6154341249919546,3.617171912209564,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1628.7870846000628,910,452,102,356,"VIH, Parotiditis, Coqueluche",95.39784044449104,11.465729030139254,99.37852733750157,-0.291599612890451
13122,Peñalolén,216664.0,0.07789996935752953,38.0,34.0,12.222863898249807,12.847695541210028,64.7195868375159,43.49306132851135,44917,42047,2870,6.39,5.34,5.43,4.14,1.56,2.91,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1899.42,1487,701,124,662,VIH | Parotiditis | Coqueluche,62.88,12.367204613641524,34.27956143010887,-0.6248316429602205
13123,Providencia,126841.0,0.11900065289566171,38.0,39.0,16.475442306700366,16.3480222801946,76.79002413515687,38.77547086152719,10505,9451,1054,10.03,5.85,5.92,5.19,1.43,2.93,Catarata | no especificada | Cálculo de la vesícula biliar sin colecistitis | Apendicitis aguda | otra y no especificada,665.93,1455,1001,239,215,VIH | Sifilis | Parotiditis,92.24,11.877388006700466,22.64343124262158,0.12742002650576723
13124,Pudahuel,210831.0,0.06784127335028187,37.0,33.0,11.692555272734923,12.441821869813756,0.6193857649094855,0.4286430963340147,10910,10189,721,6.608615948670944,6.026122823098075,6.160761605653155,4.123439667128988,1.483220245736292,2.722273143904675,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",478.8868404881046,1051,882,169,0,"VIH, Sifilis, Parotiditis",46.13291194802915,12.329064314893943,99.37252776478365,-0.749266597078833
13125,Tiltil,177098.0,0.133605338342922,34.0,34.0,12.17,12.35,62.1,38.5,1435,1360,75,5.23,6.31,6.4,4.75,1.348,3.345,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",69.79,1592,769,270,553,VIH | Parotiditis | Coqueluche,77.42,12.227873275489026,36.31009647371922,-0.17999999999999972
13126,Quinta Normal,92347.0,0.27840940168936607,38.0,32.0,11.942871863729332,12.615201049994036,0.6553346842396128,0.4349533518964312,14588,11624,2964,0.2031806964628461,6.291952289553057,6.686682725395733,4.743927125506073,1.4528379489991774,0.0331779544831368,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1127.784091348347,1361,572,431,358,VIH | Parotiditis | Sifilis,105.2175862575473,11.759605839256022,99.30964252985197,-0.6723291862647045
13127,Recoleta,118968.0,0.2223144655732561,39.0,34.0,11.617627309021207,11.922531585409324,62.59941041598428,45.127983705191625,13435,0,0,0.0,6.3290658727205065,0.0,0.0,0.0,2.97729810197246,,707.1052631578947,1978,964,501,0,,104.10526315789474,11.938042862276982,34.21464478182072,-0.30490427638811646
13128,Renca,130218.0,0.08773232638134804,35.0,33.0,10.895059920574488,12.027873787490243,61.2766105307049,47.257794957500685,25748,24002,1746,6.78,6.392185065324224,6.495590034120904,4.999132697311362,1.4646962870902591,3.0681994718036303,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1792.7615546364764,1064,590,113,361,VIH | Parotiditis | Coqueluche,74.08,11.868787078245228,37.77078183927449,-1.1328138669157557
13129,San Joaquín,95039.0,0.0,38.0,,12.0399,0.0,65.7219,47.1774,12206,11098,1108,9.0775,23.5948,23.4759,24.7852,1.5568,3.2525,H26 | K80 | K35,1276.7515,767,372,161,234,VIH | Parotiditis | Coqueluche,80.2284,11.462042612655594,34.2781,12.0399
13130,San Miguel,110161.0,0.2696298457193245,36.0,33.0,14.316605873963471,14.617748478701824,73.22180107175532,37.18711343956924,13853,11077,2776,20.04,6.37,6.74,4.91,1.59,3.35,Catarata | no especificada | Apendicitis aguda | otra y no especificada | Fractura del cuello de fémur | cerrada,1283.23,1249,587,330,332,VIH | Parotiditis | Sifilis,115.7,11.923902023759547,24.778174321945368,-0.3011426047383523
